#OBJ
Type         3
Gold         200
Weight       0.250000
Boss         0
Hidiff       3
Lowdiff      1
Name         potion of cure light~
QPS          5
Race         0
Value        0 32 -1 -1 0 1004 0 0 0 0 0 0 0 0
Scroll       'cure light' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         550
Weight       0.250000
Boss         0
Hidiff       6
Lowdiff      4
Name         potion of cure serious~
QPS          50
Race         0
Value        0 34 -1 -1 0 1004 0 0 0 0 0 0 0 0
Scroll       'cure serious' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         750
Weight       0.250000
Boss         1
Hidiff       6
Lowdiff      4
Name         greater potion of cure serious~
QPS          75
Race         0
Value        0 34 -1 -1 0 1007 0 0 0 0 0 0 0 0
Scroll       'cure serious' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         1350
Weight       0.250000
Boss         0
Hidiff       8
Lowdiff      7
Name         potion of cure critical~
QPS          650
Race         0
Value        0 31 -1 -1 0 1004 0 0 0 0 0 0 0 0
Scroll       'cure critical' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         1800
Weight       0.250000
Boss         1
Hidiff       8
Lowdiff      7
Name         greater potion of cure critical~
QPS          875
Race         0
Value        0 31 -1 -1 0 1007 0 0 0 0 0 0 0 0
Scroll       'cure critical' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         5000
Weight       0.250000
Boss         0
Hidiff       13
Lowdiff      9
Name         potion of heal~
QPS          2500
Race         0
Value        0 94 -1 -1 0 1004 0 0 0 0 0 0 0 0
Scroll       'heal' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         7000
Weight       0.250000
Boss         1
Hidiff       10
Lowdiff      9
Name         greater potion of heal~
QPS          3700
Race         0
Value        0 94 -1 -1 0 1007 0 0 0 0 0 0 0 0
Scroll       'heal' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         15000
Weight       0.250000
Boss         0
Hidiff       13
Lowdiff      11
Name         potion of divine rain~
QPS          25000
Race         0
Value        0 48 -1 -1 0 1004 0 0 0 0 0 0 0 0
Scroll       'divine rain' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         100000
Weight       0.250000
Boss         1
Hidiff       13
Lowdiff      11
Name         potion of power heal~
QPS          50000
Race         0
Value        0 139 -1 -1 0 1004 0 0 0 0 0 0 0 0
Scroll       'power heal' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         550
Weight       0.250000
Boss         0
Hidiff       6
Lowdiff      4
Name         potion of armor~
QPS          50
Race         0
Value        0 10 -1 -1 0 1004 0 0 0 0 0 0 0 0
Scroll       'armor' 'NONE' 'NONE'
Flags        0
Flags2       0
End

#OBJ
Type         3
Gold         800
Weight       0.250000
Boss         1
Hidiff       6
Lowdiff      4
Name         greater potion of armor~
QPS          75
Race         0
Value        0 10 -1 -1 0 1007 0 0 0 0 0 0 0 0
